Scientific name,Threat status,Migratory,Taxonomic group,Total habitat (Ha),Burned habitat (Ha),Proportional burned (%),Unburned habitat (Ha)
Kangaroo Island Grey-bellied Dunnart,Endangered,No,Mammalia,75041,73249,98,1791.4
Long-footed Potoroo,Endangered,No,Mammalia,582297,476714,82,105583.08
Kangaroo Island Glossy Black-cockatoo,Endangered,No,Aves,62614,48597,78,14016.33
Hastings River Mouse,Endangered,No,Mammalia,1134197,760944,67,373253.73
Kangaroo Island Bassian Thrush,Vulnerable,No,Aves,130011,82306,63,47704.74
Littlejohn’s Tree Frog,Vulnerable,No,Amphibia,1028321,636905,62,391416.25
Rufous Scrub-bird,Endangered,No,Aves,394142,228159,58,165983.37
Kangaroo Island Short-beaked Echidna,Endangered,No,Mammalia,315478,177966,56,137511.95
Broad-headed Snake,Vulnerable,No,Reptilia,1009049,557295,55,451754.66
Blue Mountains Water Skink,Endangered,No,Reptilia,38738,20732,54,18005.77
Stuttering Frog,Vulnerable,No,Amphibia,4867709,2437336,50,2430372.22
Giant Burrowing Frog,Vulnerable,No,Amphibia,1500276,675820,45,824455.64
Clarence River Cod,Endangered,No,Actinopterygii,60232,25631,43,34601.15
Eastern Bristlebird,Endangered,No,Aves,4861964,1857281,38,3004683.68
Brush-tailed Rock-wallaby,Vulnerable,No,Mammalia,11897840,4538475,38,7359364.98
Alpine Tree Frog,Vulnerable,No,Amphibia,550941,191214,35,359727.32
Long-nosed Potoroo (SE mainland population),Vulnerable,No,Mammalia,8085932,2702586,33,5383345.34
New Holland Mouse,Vulnerable,No,Mammalia,9941054,3322789,33,6618264.46
Oxleyan Pygmy Perch,Endangered,No,Actinopterygii,57832,18581,32,39251.28
Macquarie Perch,Endangered,No,Actinopterygii,181335,57365,32,123969.41
Greater Glider,Vulnerable,No,Mammalia,24997495,6920462,28,18077033.6
Smoky Mouse,Endangered,No,Mammalia,2762881,738947,27,2023934.02
Spot-tailed Quoll (SE mainland population),Endangered,No,Mammalia,26145571,7094516,27,19051055.13
Giant Barred River Frog,Endangered,No,Amphibia,159128,39735,25,119393.46
Southern Brown Bandicoot (eastern subspecies),Endangered,No,Mammalia,3857258,979938,25,2877320.02
Broad-toothed Rat (swamp population),Vulnerable,No,Mammalia,2770028,688978,25,2081049.96
Green and Golden Bell Frog,Vulnerable,No,Amphibia,1829023,434984,24,1394039.02
Spotted Tree Frog,Endangered,No,Amphibia,514722,116407,23,398315.09
Peppered Tree Frog,Vulnerable,No,Amphibia,449589,105377,23,344212.08
Honey Blue-eye,Vulnerable,No,Actinopterygii,21656,3834,18,17822.4
Large-eared Pied Bat,Vulnerable,No,Mammalia,24879945,4533334,18,20346611.16
Coxen's Fig-parrot,Endangered,No,Aves,254573,42406,17,212166.99
White-throated Needletail,Vulnerable,Yes,Aves,47564881,7401369,16,40163511.62
Mountain Pygmy-possum,Endangered,No,Mammalia,99007,15522,16,83485.02
