"latitude","longitude","brightness"
-12.7626,142.1759,335.2
-12.4527,141.8162,328.6
-12.5567,141.8979,336.5
-15.3658,142.3113,329.2
-15.7699,137.046,345.8
-16.144,136.7135,367.6
-16.1479,136.6726,349.3
-16.1501,136.6857,345.1
-16.1545,136.7117,339.3
-16.1646,136.6428,328.5
-14.6855,126.7699,339.8
-14.6846,126.7765,344.9
-34.1447,116.3721,356.7
-34.1465,116.3881,401.5
-34.1486,116.3819,402.3
-34.1502,116.3977,337.8
-31.7148,151.0734,327
-31.7932,148.5045,323.2
-31.7949,148.4881,333.6
-31.3773,150.6837,320.7
-28.0156,148.2017,335.3
-24.6682,151.3786,328.2
-24.6578,151.3869,324
-19.4922,146.3912,360.2
-19.4995,146.4203,340.5
-14.8508,144.3189,387.4
-14.8529,144.3027,334.9
-13.2325,142.0011,328.1
-14.8559,144.3411,346.4
-14.8579,144.3248,358.9
-14.8598,144.3086,341.2
-14.8462,144.3233,386.6
-14.8481,144.307,365.4
-14.8488,144.3351,349.2
-33.7971,120.7667,328.2
-33.8013,120.7719,336
-22.2687,124.8861,352.4
-22.2673,124.8964,341.5
-22.2701,124.8758,334.3
-20.7918,119.4444,337.7
-20.7941,119.4234,332.6
-15.5052,130.5955,337.4
-16.1747,125.996,352.8
-15.4381,130.5266,346.6
-15.441,130.5098,345.3
-15.4317,130.5184,357.6
-15.4227,130.4995,345.3
-15.4109,130.4973,353.2
-15.4137,130.4806,345.1
-16.0914,125.9955,337.3
-16.0845,125.9169,341.2
-16.0768,125.9061,355.1
-16.0782,125.8966,369.2
-15.1529,131.1778,339.6
-15.0855,130.5753,336.4
-15.1839,129.9258,339.1
-15.1621,129.9849,337.6
-14.6903,130.6577,338.1
-14.6675,130.6108,340.9
-14.6525,130.6261,349.8
-14.6554,130.6088,340.7
-14.6462,130.5895,374
-14.7357,126.7584,354
-14.7264,126.7568,341
-13.9821,131.244,347.7
-13.9856,131.224,338.9
-14.7061,126.7638,345.2
-14.7076,126.7537,366.3
-14.6983,126.7522,345.7
-14.6998,126.7421,338.4
-14.7013,126.732,345.2
-14.163,130.0316,341.8
-14.6732,126.7275,347.9
-13.9801,130.573,331.5
-13.0241,132.9584,331.9
-11.4306,130.4848,337.8
-11.4433,130.487,344.2
-11.4028,130.8109,365.4
-11.3993,130.832,367.4
-12.4504,133.0855,357.8
-12.4379,133.0754,333.7
-12.4307,131.177,330.8
-11.6671,130.4048,337.9
-11.6703,130.3859,341.5
-11.6677,130.3996,346.8
-11.6582,130.3785,332.4
-11.6613,130.3596,338.7
-11.6488,130.3576,345.8
-11.6519,130.3385,347.1
-11.4081,130.8389,348.3
-11.4117,130.8179,360
-14.7895,144.2807,364.3
-14.7879,144.2913,364.8
-14.7991,144.2823,321
-14.7974,144.2929,340.5
-14.7958,144.3035,323.8
-14.7942,144.3141,322.2
-12.5569,141.8909,310.6
-11.4598,130.5282,313.5
-11.4605,130.5216,315.8
-14.2292,130.7049,316.8
-15.7712,136.9987,326.7
-14.2282,130.723,311
-15.7816,137.0067,311.3
-15.1826,129.9346,319.3
-15.1737,129.9314,310.9
-23.3644,146.7548,331.4
-27.1854,148.6423,333.1
-27.1953,148.6402,328.5
-27.2172,148.6483,349
-27.2193,148.6607,341.5
-27.2292,148.6586,326.3
-29.4428,150.5345,331.5
-29.4338,150.5364,325.9
-41.6216,148.1881,329.8
-14.2906,134.939,337.2
-11.5173,132.6195,357.8
-11.3928,130.8015,371.4
-11.3941,130.8105,353.6
-11.5029,130.2408,362.6
-11.6442,130.385,338.2
-11.6456,130.3941,351.5
-11.6545,130.3928,359
-11.6559,130.4019,359.3
-11.6663,130.4097,348.3
-11.687,130.4253,344
-11.7325,130.6701,346.1
-12.7429,134.4108,335.2
-12.6834,133.9104,335.8
-12.7481,134.4042,333.8
-12.4148,131.1784,336.4
-12.4161,131.1876,340.4
-12.7196,132.47,328.9
-13.3017,131.9705,334.2
-14.2794,134.9405,330.6
-14.1798,130.6597,335.7
-14.1901,130.6676,382.3
-14.1915,130.6768,356.3
-14.2005,130.6755,350
-14.2018,130.6847,367.1
-14.2108,130.6834,334.6
-14.2122,130.6926,336.1
-14.2212,130.6913,329.8
-14.2225,130.7005,358.4
-14.2239,130.7098,384.1
-14.2302,130.6899,332.9
-14.2315,130.6992,332.1
-14.2342,130.7177,347.8
-14.2356,130.727,342.7
-14.2446,130.7256,336.8
-14.2632,130.7263,330
-14.1665,130.0064,339.9
-14.2722,130.725,332.7
-14.3298,130.6785,340.1
-14.3392,130.6801,331.4
-14.6158,130.6203,337.3
-14.6171,130.6296,340.4
-14.6275,130.6375,329.9
-14.6365,130.6361,341.4
-14.6378,130.6454,337
-14.6469,130.644,331.2
-14.6676,130.6598,338.1
-14.6793,130.677,338.3
-14.708,130.6853,340.1
-14.7467,130.6985,334.4
-15.1133,131.1344,332
-15.1147,131.1439,338.4
-15.1535,131.2848,333.8
-15.1481,131.1911,333.8
-15.1585,131.1992,330.6
-15.1853,131.3229,335.7
-15.1867,131.3325,334.8
-15.1666,129.9827,341
-15.1916,129.9033,328.9
-15.1929,129.9125,393.9
-15.1943,129.9217,352.9
-15.3813,130.7608,334.9
-15.4003,130.5096,356.8
-15.4106,130.5175,334.7
-15.4199,130.5192,328.4
-15.5047,130.6591,338
-15.4847,130.3952,331.1
-16.0712,125.864,335.8
-14.6498,126.7351,335.4
-33.6456,122.8547,327.6
-33.6361,122.857,375.5
-34.0216,149.7264,338.5
-34.1952,142.2431,344
-34.1937,142.2542,328.4
-34.1922,142.2654,325.5
-31.943,147.2475,323.7
-15.6384,143.2197,328.6
-14.7993,144.3171,330.8
-16.1198,136.6612,360.2
-14.8823,144.3044,328.2
-16.1251,136.6945,348.7
-16.1332,136.7065,342.3
-15.2597,131.077,330.3
-15.1696,131.2119,337.7
-15.1723,131.1876,334.3
-15.1787,131.2062,335.3
-15.1646,131.2046,334.5
-14.278,134.9339,336.9
-14.2276,130.7032,340.9
-14.2132,130.7017,342.5
-14.2257,130.6982,339.6
-14.2112,130.6967,340.8
-14.1997,130.6694,337.1
-14.1853,130.6676,349
-14.1709,130.6659,366.1
-14.1738,130.6399,384.2
-14.1593,130.638,363.1
-14.1683,130.6586,373
-14.1714,130.6324,364.8
-14.1569,130.6303,345.8
-14.1701,129.9836,332.7
-12.4748,141.9763,333.8
-12.4768,141.9637,332
-12.8907,136.1834,332.2
-12.8921,136.173,333
-13.0846,134.2403,337.6
-12.9428,135.0451,341.8
-12.8796,134.5829,333.7
-12.764,133.8803,342.4
-12.7658,133.8661,333.9
-12.7724,133.7222,331.9
-12.7631,133.8747,335.7
-12.7725,133.717,333.6
-15.8006,137.0636,343
-15.7884,137.0825,353.2
-15.7644,137.048,341.4
-15.7564,137.0365,342.1
-13.8788,141.9627,331.5
-15.3656,130.7722,347.7
-15.3686,130.7454,346.2
-15.351,130.7704,332.8
-15.354,130.7436,339.3
-11.632,130.3646,334.4
-11.6359,130.372,338.3
-11.4029,130.8144,338
-11.6795,130.6536,333
-12.0262,136.395,332
-12.0355,136.3964,331.1
-12.0341,136.4063,328.1
-12.3603,134.752,330.2
-11.3848,130.782,363.1
-11.3985,130.7838,356.1
-11.3957,130.8066,350.8
-11.3919,130.7899,369.5
-11.4056,130.7916,345.5
-12.4513,131.1001,350.1
-12.4485,131.1226,340.8
-12.4455,131.1065,330.8
-12.4591,131.1083,363
-12.0467,134.654,342.7
-12.1308,134.5461,352.3
-12.1411,134.5475,332.4
-12.2894,134.0233,335.7
-12.2877,134.0367,334.4
-12.3786,133.4017,333.5
-32.4772,115.9277,321.2
-29.0361,116.0672,325.9
-29.8965,115.509,335.5
-21.2721,120.1719,353.3
-21.2747,120.1572,339.6
-21.2772,120.1427,341.9
-21.2477,120.1822,361.6
-21.2503,120.1676,333
-33.0006,137.5928,314.5
-15.2005,129.9051,310.5
-15.0497,130.6006,310.4
-14.2145,130.7219,316.6
-14.2055,130.7206,326.7
-14.1966,130.7192,327.4
-14.1812,130.698,321.8
-14.1748,130.6782,317.9
-14.1626,130.6983,320.4
-14.1639,130.6891,338.1
-14.1549,130.6878,356.7
-14.1396,130.6666,322
-14.1409,130.6573,326.9
-14.1319,130.656,320.9
-14.1306,130.6652,316.8
-14.1735,130.6875,329
-13.0181,132.9689,312.4
-13.1198,132.907,312.3
-13.067,132.9034,326.6
-13.2065,131.9054,318.2
-13.0339,132.9296,311.3
-12.9943,132.9698,315
-12.8209,132.8982,335.7
-12.8225,132.8879,315.2
-11.6557,130.4168,312.2
-12.8179,132.8963,316.7
-13.0623,132.9053,325.4
-14.1234,130.6601,323.6
-14.1353,130.671,326
-14.1369,130.6835,347
-14.1472,130.6816,346
-14.1489,130.6944,317.2
-14.1609,130.7053,333.3
-14.1832,130.7148,325.5
-14.6232,130.6622,313.4
-15.195,129.9128,311.3
-12.813,132.9037,314.1
-16.0744,125.8595,310.3
-21.1951,120.082,325.1
-21.198,120.0984,320.5
-11.8062,142.0604,350.9
-12.503,141.8655,332.9
-15.4049,142.2705,331.4
-15.428,142.2971,333
-15.4372,142.2956,357.6
-15.4387,142.3055,344.2
-15.4602,142.3222,328.4
-16.0773,136.644,359.4
-16.0812,136.6659,326.3
-16.0906,136.6414,331.6
-16.0723,136.6387,348
-16.0764,136.6606,328.3
-16.0856,136.6362,335.6
-16.0897,136.6581,330.4
-27.331,148.342,323.4
-27.3283,148.3368,327.7
-27.5714,149.1082,323.4
-27.5769,149.1022,325.8
-31.7427,148.5231,321.1
-31.7469,148.5157,326.7
-15.2069,129.8979,328.8
-20.811,119.4296,330.4
-20.8174,119.408,356.9
-20.8188,119.4181,380.3
-29.4932,152.6789,322
-31.8326,148.9324,324.7
-31.8243,148.9268,322.6
-31.7496,148.5087,331.1
-31.7564,148.5024,327.5
-27.3731,148.3164,340.9
-14.1087,130.6483,347.2
-14.0907,130.6342,360.5
-14.0924,130.6234,345.4
-14.1869,130.0108,333.7
-14.1885,130.0004,356.3
-14.19,129.9901,334.8
-14.1821,129.9782,341.2
-14.1648,129.9647,343.7
-14.1553,129.9632,369.7
-13.875,129.7667,374.6
-13.8766,129.7565,434.7
-13.2143,133.8326,341
-13.2175,133.8134,339.7
-13.8656,129.7651,335.3
-13.8672,129.7549,347.5
-13.2018,133.8301,370.2
-13.205,133.8112,382.7
-13.2105,131.913,330.1
-12.9582,130.8083,330.8
-12.6891,131.2786,331.2
-12.4907,131.2331,331.7
-12.5693,130.6178,332.1
-12.4603,131.1187,341.2
-12.4623,131.1063,333.4
-16.1928,125.9974,336
-15.5252,130.6179,355.2
-15.5269,130.6071,340.4
-15.4778,130.7328,337.1
-15.521,130.3882,347.6
-15.5226,130.3777,337.8
-15.4985,130.4712,335.2
-15.5001,130.4606,339.7
-15.5131,130.3762,350.9
-15.266,131.1042,343.2
-15.2655,131.1104,333.8
-15.2012,131.1946,333.8
-15.243,130.2047,337.2
-15.1313,130.5268,339.6
-14.9204,131.7997,368.7
-15.2095,129.8895,350.4
-15.211,129.8795,369.6
-14.6555,130.685,342.4
-14.6573,130.6739,336.3
-14.6003,130.6535,342.3
-14.602,130.6426,338.2
-14.6,130.6478,342.8
-12.3465,131.1834,332.4
-12.3293,131.0902,333.2
-12.3242,131.0839,327.2
-12.2023,131.1343,337.2
-12.2042,131.1216,326.9
-11.6275,132.7934,355
-11.6787,130.4226,350
-11.6687,130.4208,345.5
-11.6486,130.4176,344.8
-11.6504,130.4061,361
-11.6403,130.4045,367.1
-11.6421,130.3929,334.3
-11.5084,130.2648,339.4
-11.39,130.5006,350.7
-11.3918,130.4888,346.4
-11.3798,130.499,338.7
-12.4087,131.1746,343.3
-12.4107,131.162,341.6
-12.3983,131.1729,346.5
-12.4003,131.1603,363.9
-12.4027,131.1668,358
-12.4046,131.1542,332.6
-12.4744,130.6313,375.2
-31.5624,148.8497,313.2
-31.5714,148.8515,316.3
-24.4976,148.4046,316.8
-15.4643,142.2336,321.2
-15.4771,142.2123,312.5
-15.4657,142.2222,311.2
-15.4611,142.2141,310.7
-15.4625,142.2239,329.8
-24.4929,148.4204,329.5
-11.403,130.7825,337.8
-11.4049,130.7942,333.8
-11.6953,130.6208,353.9
-11.6971,130.6326,340
-11.6953,130.6268,345.4
-12.2115,131.1078,345.4
-12.2506,131.1504,332.7
-12.8184,134.404,340.3
-12.6705,133.2108,351.1
-12.6896,132.2464,331.8
-12.7431,132.4727,332.5
-13.185,131.9185,333.2
-13.3637,132.0675,330.2
-13.367,132.0272,361.5
-13.3729,132.066,331.3
-13.4481,132.0778,331.1
-14.7672,142.0961,378.3
-14.7705,142.1268,342.3
-14.7781,142.0882,335.5
-13.7842,130.2361,333.6
-14.0719,130.6296,343.2
-14.0736,130.6403,341.1
-14.2914,130.7269,345.5
-14.2931,130.7377,359.1
-14.295,130.7314,351.5
-14.1971,130.0029,374.1
-14.3594,129.8026,338.3
-14.6441,130.6883,336.2
-15.7245,137.0419,331
-15.7351,137.0405,340.7
-15.1415,130.524,336.8
-15.2812,131.1671,331.6
-15.2792,131.0569,341.2
-15.2809,131.0673,339.9
-15.2825,131.0775,331.7
-16.0623,136.2844,338.5
-16.0639,136.2965,330.2
-15.215,129.8958,362.9
-15.4962,131.3662,375.2
-15.4977,131.3761,362
-15.4992,131.386,340.3
-15.5033,131.3692,367.5
-15.5049,131.3791,347.2
-16.2954,136.9226,330.3
-15.5002,130.4602,363.1
-15.502,130.4711,332.5
-15.5225,130.6007,330
-15.5242,130.6114,335.8
-15.5321,130.5991,339.7
-15.535,130.5545,333
-15.5333,130.5438,356.3
-15.5316,130.533,330.2
-16.3428,137.0395,331.6
-16.3445,137.0531,331.9
-16.3535,137.0381,333.6
-15.4729,130.7458,333.6
-28.9937,148.0204,330.4
-28.9917,148.0323,339
-29.0033,148.0225,335.3
-29.0013,148.0344,356.8
-27.5097,149.0779,332
-27.5172,149.0719,334.4
-26.5961,146.9974,332.1
-24.4996,148.4092,328.4
-19.3433,146.8788,324.9
-19.3538,146.8808,344.9
-19.3517,146.8938,336.7
-15.9563,136.309,343.5
-15.7233,137.0244,348.1
-14.896,141.7119,331.2
-14.7548,142.0516,333.3
-14.3662,141.6223,340
-15.669,143.1612,331.6
-15.6613,143.1502,331.3
-15.6627,143.1407,331.7
-16.3602,137.0367,359.2
-16.3622,137.0209,373.8
-16.3641,137.0049,442.5
-16.3661,136.989,354.7
-16.3487,137.0353,351.3
-16.3506,137.0194,356.4
-16.3526,137.0034,382.3
-16.3545,136.9875,362.9
-16.3041,136.9154,335.4
-15.4935,142.355,349.2
-15.4848,142.347,332.3
-15.4861,142.3377,332.6
-15.4798,142.3177,332.4
-15.4812,142.3084,348.3
-15.4636,142.2392,345.5
-15.4246,142.3185,350.1
-15.5115,141.5205,342.2
-15.3459,141.9058,335.5
-15.9543,136.3267,333.6
-13.3043,142.4756,345
-13.2283,133.8075,333.4
-13.2175,133.811,333.8
-12.4958,141.8997,333.6
-13.2659,141.9783,327
-12.8379,131.6,330.2
-12.8269,131.6058,333.2
-30.8677,121.4901,344.3
-22.0185,119.5864,337.2
-22.0171,119.5962,338.8
-22.0095,119.5848,355.3
-22.008,119.5946,345.8
-17.0806,122.8604,331.7
-15.5121,130.5015,312.6
-15.2242,129.8783,310.7
-15.1897,129.868,313.1
-15.0096,130.6093,320.1
-15.0031,130.602,313.6
-14.7879,130.6866,310.9
-14.7777,130.6853,312.2
-14.043,130.6216,333.2
-13.4082,132.0929,311.9
-13.4002,132.0815,342.2
-12.8994,132.9144,316.2
-12.8634,132.7787,311.2
-12.6772,132.6624,319
-12.6785,132.653,329.2
-11.3547,130.9222,326.2
-12.4536,130.6329,315
-11.3501,130.9275,316
-14.5996,130.677,327.9
-15.1833,130.0092,319.2
-15.2195,129.8808,317.5
-15.523,131.3474,321.5
-15.5243,131.3571,326.5
-21.8003,148.8859,335.1
-27.1972,148.6396,341.3
-27.1989,148.6542,326.7
-11.3448,130.9135,346.8
-11.3562,130.9175,326.7
-11.3419,130.9192,350.3
-13.3888,132.078,336.1
-13.3973,132.084,337
-22.2272,119.5657,335.3
-25.3502,152.2458,325.5
-27.2216,149.7162,328.5
-27.2234,149.6915,327.1
-27.221,149.7213,326.7
-25.3455,152.2402,325.7
-34.4874,143.2,321.4
-15.7742,137.0459,330.8
-15.5149,130.5086,339.9
-15.1794,129.8862,338.5
-15.2555,130.2628,336.9
-15.1958,130.3595,338.9
-15.1725,130.3943,335.8
-15.1703,129.8847,360.6
-14.9949,130.6122,354.2
-14.7146,130.7128,335.4
-14.6339,130.6939,333
-14.6173,130.6819,334
-14.6083,130.6805,335.8
-14.5993,130.6791,350.9
-14.6006,130.6699,333.5
-14.5916,130.6685,355.7
-14.5929,130.6592,335.6
-14.3192,130.7129,340.8
-14.4779,129.5762,336.6
